f (kHz),Ua (mV),Ub (mV),Ua/Ub
0.1,1600,1590,1.006289
0.3,1554,1520,1.022368
0.8,1250,1240,1.008065
1.5,930,924,1.006494
2,754,752,1.00266
3,550,568,0.96831
4,435,463,0.939525
5,355,420,0.845238
6,311,370,0.840541
6.1,284,367,0.773842
6.2,311,375,0.829333
6.3,293,350,0.837143
6.6,302,350,0.862857
6.8,284,360,0.788889
6.9,266,349,0.762178
7,266.4,340,0.783529
7.1,260,338,0.769231
7.2,264,348,0.758621
7.3,249,330,0.754545
7.4,240,332,0.722892
7.6,248,340,0.729412
7.8,249,335,0.743284
8,240,332,0.722892
10,186.4,306,0.60915
15,150,280,0.535714
20,113,273,0.413919
30,99,260,0.380769
50,62,253.4,0.244672
70,71,240,0.295833
90,57,250,0.228
100,61,235,0.259574