Time (s),Gyroscope y (rad/s)
3.45227174,-0.01191187184
3.454357229,-0.01206458826
3.456444316,-0.01191187184
3.458530671,-0.01313360315
3.46061846,-0.01313360315
3.46270571,-0.01435533352
3.464793203,-0.01435533352
3.466880942,-0.01191187184
3.468968985,-0.01435533352
3.471055757,-0.01679879427
3.473144136,-0.0155770639
3.475229767,-0.0155770639
3.477317404,-0.0155770639
3.479404379,-0.01679879427
3.48149225,-0.01802052557
3.483580141,-0.01802052557
3.48566793,-0.02046398632
3.487754426,-0.02168571576
3.489838055,-0.02168571576
3.491911257,-0.02046398632
3.494016704,-0.02412917651
3.496103313,-0.02657263726
3.498195385,-0.02535090782
3.500278526,-0.02535090782
3.502366722,-0.02901609987
3.504453493,-0.03023782931
3.506541404,-0.03268129006
3.508627514,-0.03390302137
3.51071507,-0.03527746722
3.512802462,-0.03512475267
3.51489024,-0.03649919853
3.516977643,-0.03894266114
3.51906409,-0.04260785133
3.521142276,-0.04138612002
3.523240318,-0.04382958263
3.525326245,-0.04260785133
3.527416476,-0.04260785133
3.529501244,-0.04260785133
3.531590019,-0.04612032697
3.533679914,-0.04734205827
3.5357646,-0.04734205827
3.537854403,-0.05222897977
3.539953759,-0.05345070735
3.542039758,-0.05589416996
3.544127251,-0.05849034712
3.546208306,-0.06093380973
3.54828641,-0.06337726861
3.550387027,-0.06704246253
3.552475681,-0.0719293803
3.554561536,-0.07559457421
3.556636945,-0.07803803682
3.558736433,-0.08048149943
3.560823266,-0.0853684172
3.562913659,-0.08659014851
3.565003085,-0.0853684172
3.567106734,-0.08643743396
3.569173689,-0.08888089657
3.571260299,-0.08643743396
3.573341761,-0.08521570265
3.575425581,-0.08399397135
3.577509392,-0.08170322329
3.579610172,-0.07925976813
3.581698307,-0.07681630552
3.583788142,-0.0731511116
3.585873946,-0.0719293803
3.587960168,-0.06948592514
3.590047428,-0.06459899992
3.592133336,-0.06215553731
3.594215529,-0.06215553731
3.59627983,-0.05971207842
3.598383427,-0.05711590126
3.600483952,-0.05467243865
3.602578018,-0.05467243865
3.604661839,-0.05222897977
3.606746058,-0.05100724846
3.608832463,-0.04978551716
3.610920079,-0.04856378585
3.613008072,-0.04505131021
3.615089503,-0.04627304152
3.617162185,-0.04505131021
3.619270502,-0.04871650413
3.621358027,-0.05115996301
3.623450109,-0.04993823543
3.625531132,-0.05482515693
3.627619074,-0.06093380973
3.629706772,-0.06582073122
3.631794002,-0.0731511116
3.633880967,-0.07681630552
3.635964431,-0.0853684172
3.638036586,-0.09392052889
3.640140244,-0.1012509167
3.642230912,-0.1098030284
3.644322108,-0.1207986027
3.646402481,-0.1317941695
3.648479548,-0.14156802
3.650581152,-0.1513418704
3.652668392,-0.1635591686
3.654749517,-0.1721112877
3.656836533,-0.1855503172
3.658955623,-0.1953241676
3.661021297,-0.2099849284
3.663106848,-0.2222022265
3.665184972,-0.2356412709
3.667278957,-0.247858569
3.669367173,-0.2588541508
3.671454637,-0.2710714638
3.673538093,-0.2845104933
3.675614955,-0.2991712391
3.677715084,-0.3113885522
3.679802466,-0.3225368559
3.681893256,-0.3359758854
3.683977728,-0.3469714522
3.686061784,-0.3567453027
3.688135372,-0.3677408695
3.690240669,-0.3750712574
3.69232683,-0.3860668242
3.694418636,-0.3958406746
3.696501369,-0.4007275999
3.698588813,-0.4080579877
3.700680243,-0.4153883755
3.702778968,-0.4202753007
3.704851843,-0.4263839424
3.706945787,-0.4312708676
3.709047777,-0.4349360466
3.711113279,-0.441044718
3.7132012,-0.4422664344
3.715281298,-0.4459316432
3.717375608,-0.4483750761
3.719464322,-0.4483750761
3.721550382,-0.4532620013
3.723638354,-0.4544837475
3.725724067,-0.4581489265
3.727814369,-0.4605923891
3.729908994,-0.4630358517
3.731986794,-0.4679227769
3.734074643,-0.471587956
3.736160092,-0.4764748812
3.738249987,-0.4825835526
3.740338306,-0.4886921942
3.74242408,-0.4948008358
3.744510688,-0.5009095073
3.746597918,-0.5082398653
3.748679238,-0.5143485069
3.750744892,-0.522900641
3.75286153,-0.5302310586
3.754947782,-0.538783133
3.757043272,-0.5461135507
3.759122547,-0.5558874011
3.761209512,-0.5656611919
3.763296944,-0.5754350424
3.765392698,-0.5876523852
3.767502348,-0.5986479521
3.769560068,-0.6108652353
3.771646453,-0.6230825782
3.773727151,-0.6352998614
3.775821328,-0.6488916278
3.777908272,-0.6586654782
3.779990243,-0.6733261943
3.782083556,-0.6867652535
3.784172087,-0.7014260292
3.786262389,-0.7173085213
3.788345519,-0.7295258045
3.790433633,-0.7466300726
3.792520273,-0.7625125647
3.794607563,-0.7783950567
3.796694559,-0.7954992652
3.798780252,-0.8126034737
3.800863098,-0.8297077417
3.802958231,-0.8468119502
3.805045327,-0.8626944423
3.807134215,-0.884685576
3.809218698,-0.901789844
3.811306233,-0.9237809777
3.813394267,-0.9408851862
3.815481037,-0.9618073106
3.817568654,-0.9825767279
3.81964982,-1.005789638
3.821713908,-1.026558995
3.82382012,-1.050993681
3.825918578,-1.072984815
3.828008535,-1.094975948
3.830082397,-1.119410515
3.83217983,-1.143845201
3.834268422,-1.16705811
3.836358774,-1.195157886
3.838442434,-1.222035885
3.840530172,-1.247692227
3.842611766,-1.275944829
3.844702016,-1.302822828
3.846792227,-1.33214438
3.848880483,-1.360244155
3.850967306,-1.393230915
3.853052725,-1.423774123
3.855128011,-1.456760883
3.857229319,-1.486082435
3.859315166,-1.522734284
3.861401724,-1.557095528
3.863469555,-1.592525721
3.865564707,-1.62917757
3.867666077,-1.665829539
3.869757844,-1.707368374
3.871844321,-1.747685432
3.873927817,-1.789224267
3.876014344,-1.830763102
3.878101493,-1.876119852
3.880188904,-1.920102239
3.882273805,-1.970193148
3.884353496,-2.017840624
3.886452312,-2.069153309
3.888539389,-2.119244337
3.890630678,-2.175596476
3.892713299,-2.229352713
3.894801565,-2.284330606
3.896887463,-2.344195366
3.898975404,-2.405282021
3.901063214,-2.46514678
3.903152112,-2.528829336
3.905237662,-2.596024513
3.907325604,-2.661998034
3.909411501,-2.732858419
3.911499666,-2.806162119
3.913584495,-2.877175331
3.915661582,-2.954144239
3.917762941,-3.032335043
3.919858207,-3.114343643
3.921969993,-3.197421312
3.924024498,-3.285386086
3.9261107,-3.369685411
3.928187686,-3.460246086
3.930272606,-3.553097725
3.932371188,-3.650836229
3.934448132,-3.749948978
3.936525098,-3.851352692
3.938611311,-3.955199718
3.940711439,-4.064086437
3.942800418,-4.175263882
3.944887992,-4.287662983
3.946972414,-4.405101776
3.949061689,-4.527275085
3.951153222,-4.648378849
3.953236189,-4.777882576
3.955322055,-4.908760548
3.957405439,-5.044372559
3.959496738,-5.18364954
3.961584446,-5.325523376
3.96367309,-5.472130775
3.965759698,-5.625
3.967847192,-5.778937817
3.969934777,-5.940359116
3.972021315,-6.109110832
3.97410951,-6.283818245
3.976195794,-6.468451977
3.978283288,-6.675077438
3.980370314,-6.904915333
3.982454197,-7.157966137
3.984530145,-7.421860218
3.986629317,-7.696902275
3.991134373,-7.970569611
3.993009211,-8.516988754
3.994971897,-8.788212776
3.997028039,-9.049816132
3.999162335,-9.306379318
4.001247953,-9.563095093
4.003332809,-9.817368507
4.005409153,-10.06782246
4.007507521,-10.31354332
4.009593551,-10.56292915
4.011683476,-10.81949234
4.01376802,-11.08338642
4.015855666,-11.3498764
4.017943445,-11.61987877
4.020031407,-11.88881207
4.022118108,-12.1539278
4.02420615,-12.42393017
4.026292444,-12.69042015
4.028379969,-12.95813179
4.030467005,-13.25760841
4.03255452,-13.60259438
4.034642064,-13.94635868
4.036730351,-14.31180954
4.038820317,-14.67237186
4.040919592,-15.01323509
4.043005601,-15.3359251
4.045088964,-15.6547966
4.047161006,-15.97870731
4.049264969,-16.32323647
4.051357245,-16.68272972
4.053467586,-17.07261467
4.055527695,-17.49197388
4.057616033,-17.93698883
4.059696203,-18.39681816